id,title,department,location,close_date,scrape_date
23435,Licensed Practical Nurse,"Health & Social Services - Intermediate and Community Care, Admin - McDonald Lodge","Dawson City, YT, CA Y0B 1G0",2020-08-11,NA
23439,LPN Supervisor,"Health & Social Services - Intermediate and Community Care, Admin - McDonald Lodge","Dawson City, YT, CA Y0B 1G0",2020-08-11,NA
23429,Manager- Community Nursing,Health & Social Services - Community Nursing North,"Whitehorse, YT, CA Y1A 2C6",2020-08-11,NA
23433,Cook,"Health & Social Services - Intermediate and Community Care, Admin - McDonald Lodge","Dawson City, YT, CA Y0B 1G0",2020-08-11,NA
23245,Residence Supervisor,Education - Student Accommodation,"Whitehorse, YT, CA Y1A 2C6",2020-08-07,NA
23472,Nursing Home Attendant,"Health & Social Services - Intermediate and Community Care, Admin - McDonald Lodge","Dawson City, YT, CA Y0B 1G0",2020-08-13,NA
23484,Financial Officer,SOA Fleet Management - FM - Administration,"Whitehorse, YT, CA Y1A 2C6",2020-08-14,NA
23488,RN Supervisor,"Health & Social Services - Continuing Care, Thomson Centre, Nursing","Whitehorse, YT, CA Y1A 2C6",2020-08-14,NA
23512,Airport Equipment Operator,Highways & Public Works - HPW TAB Maintenance,"Mayo, YT, CA Y0B 1M0",NA,NA
23524,Residential Attendant,Health & Social Services - Mental Wellness and Substance Use – Client Services,"Whitehorse, YT, CA Y1A 2C6",2020-08-25,NA
23575,Manager - Citizen Communications,Executive Council Office - Communications,"Whitehorse, YT, CA Y1A 2C6",2020-08-21,NA
23592,Senior HRMS Analyst,Public Service Commission - Human Resources Management Systems,"Whitehorse, YT, CA Y1A 2C6",2020-08-24,NA
23512,Airport Equipment Operator,Highways & Public Works - HPW TAB Maintenance,"Mayo, YT, CA Y0B 1M0",2020-12-31,NA
23557,Transportation Planner,Highways & Public Works - HPW TPB Planning Units,"Whitehorse, YT, CA Y1A 2C6",2020-08-25,NA
23613,Senior Public Engagement Advisor,Executive Council Office - Communications,"Whitehorse, YT, CA Y1A 2C6",2020-08-25,NA
23617,"Operations Supervisor, FVA",SOA Fleet Management - FM - Administration,"Whitehorse, YT, CA Y1A 2C6",2020-08-25,NA
23618,Social Worker,Health & Social Services - Mental Wellness and Substance Use – Client Services,"Whitehorse, YT, CA Y1A 2C6",2020-08-26,NA
23632,Senior Negotiator,Executive Council Office - Implementation & Reconciliation,"Whitehorse, YT, CA Y1A 2C6",2020-08-26,NA
23429,Manager- Community Nursing,Health & Social Services - Community Nursing North,"Whitehorse, YT, CA Y1A 2C6",2020-08-18,NA
23661,Nursing Home Attendant,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-09-14,NA
23585,Translator - Reviser,French Language Services Directorate,"Whitehorse, YT, CA Y1A 2C6",2020-09-11,NA
23666,Speech Language Pathologist,"Health & Social Services - Continuing Care, Thomson Centre - Therapies","Whitehorse, YT, CA Y1A 2C6",2020-11-13,NA
23670,Registered Nurse,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-09-14,NA
23672,Dental Hygienist,"Health & Social Services - Community Health, Dental Health","Whitehorse, YT, CA Y1A 2C6",2020-09-04,NA
23680,Water Resources Technologist - Water Quality,Environment - ENV-MC-OPS-Water Quality,"Whitehorse, YT, CA Y1A 2C6",2020-08-31,NA
23701,Maintenance Person,"Health & Social Services - Extended/Complex Care CRP, Facility Services","Whitehorse, YT, CA Y1A 2C6",2020-08-31,NA
23774,Administrative Assistant,"Health & Social Services - Community Nursing, Destruction Bay Health Centre","Destruction Bay, YT, CA Y0B 1H0",2020-09-02,NA
23782,Director - Policy - Planning and Communications,Economic Development - Policy & Planning,"Whitehorse, YT, CA Y1A 2C6",2020-09-03,NA
23785,Recreation Therapy Assistant,"Health & Social Services - Continuing Care, Whistle Bend Care Facility, Therapies","Whitehorse, YT, CA Y1A 2C6",2020-09-03,NA
23788,Primary Health Care Nurse Float,Health & Social Services - Community Nursing,"Whitehorse, YT, CA Y1A 2C6",2020-11-20,NA
23828,Bilingual Custodial Worker - Evening,Education - Facilities & Transportation - Custodial,"Whitehorse, YT, CA Y1A 2C6",2020-09-04,NA
23806,Major Projects Manager,Executive Council Office - ECO - Major Projects,"Whitehorse, YT, CA Y1A 2C6",2020-09-04,NA
23804,Clinical Supervisor - Community Team (South),Health & Social Services - MWSU – Regional – Activity Management,"Whitehorse, YT, CA Y1A 2C6",2020-11-23,NA
23857,Manager - Finance and Administration,Highways & Public Works - Finance,"Whitehorse, YT, CA Y1A 2C6",2020-09-09,NA
23512,Airport Equipment Operator,Highways & Public Works - HPW TAB Maintenance,"Mayo, YT, CA Y0B 1M0",2020-08-25,NA
23870,Custodial Worker (Evenings),Education - Facilities & Transportation - Custodial,"Whitehorse, YT, CA Y1A 2C6",2020-11-26,NA
23880,Environmental Compliance Officer,Environment - ENV-MC-Compliance & Inspection,"Whitehorse, YT, CA Y1A 2C6",2020-09-10,NA
23892,Senior Conservation Officer Enforcement and Compliance,Environment - ENV-MC-Mgr Enforce Compliance,"Whitehorse, YT, CA Y1A 2C6",2020-09-11,NA
23898,IT Support Technician,Education - ITSS,"Whitehorse, YT, CA Y1A 2C6",2020-09-11,NA
23870,Custodial Worker (Evenings),Education - Facilities & Transportation - Custodial,"Whitehorse, YT, CA Y1A 2C6",2020-09-10,NA
23960,Project Officer,Highways & Public Works - Capital Development Overhead,"Whitehorse, YT, CA Y1A 2C6",2020-09-16,NA
24010,Manager - Project Management Office,Highways & Public Works - ICT - Service Innovation & Support - FA,"Whitehorse, YT, CA Y1A 2C6",2020-09-17,NA
23996,Licensed Practical Nurse,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-12-02,NA
24003,Wildlife Harvest Specialist,Environment - ENV-NR-Wildlife Harvest Mgmnt,"Whitehorse, YT, CA Y1A 2C6",2020-09-17,NA
24034,Coordinator - Family Information Liaison Unit,Justice - Victim Services - Operations,"Whitehorse, YT, CA Y1A 2C6",2020-09-18,NA
24040,Applications Developer and Administrator,Environment - ENV-CS-IMT Technology,"Whitehorse, YT, CA Y1A 2C6",2020-09-18,NA
24072,Executive Assistant,Executive Council Office - Aboriginal Relations Program Management,"Whitehorse, YT, CA Y1A 2C6",2020-09-21,NA
24113,Project Manager,Highways & Public Works - HPW TPB Planning Units,"Whitehorse, YT, CA Y1A 2C6",2020-09-23,NA
24060,IT K12 Business Analyst,Education - ITSS,"Whitehorse, YT, CA Y1A 2C6",2020-09-22,NA
24093,Domestic Aide,"Health & Social Services - Intermediate and Community Care, Admin - McDonald Lodge","Dawson City, YT, CA Y0B 1G0",2020-09-22,NA
24110,Director and Chief Negotiator,Justice - Negotiations of AJA,"Whitehorse, YT, CA Y1A 2C6",2020-09-22,NA
24134,Energy Technical Specialist,Highways & Public Works - RS - Building Dev Overhead,"Whitehorse, YT, CA Y1A 2C6",2020-09-30,NA
24143,Medical Office Assistant,"Health & Social Services - Community Health, Yukon Communicable Disease Control","Whitehorse, YT, CA Y1A 2C6",2020-09-23,NA
24094,Business Analyst,Justice - Systems Administration,"Whitehorse, YT, CA Y1A 2C6",2020-09-23,NA
24117,RN Supervisor,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-10-09,NA
24119,Home Support Worker,"Health & Social Services - Intermediate and Community Care, Home Support - Home Care","Whitehorse, YT, CA Y1A 2C6",2020-09-23,NA
24131,Infection Control Coordinator,"Health & Social Services - Community Health, Yukon Communicable Disease Control","Whitehorse, YT, CA Y1A 2C6",2020-09-30,NA
24148,Energy and Infrastructure Analyst,Highways & Public Works - RS - Building Dev Overhead,"Whitehorse, YT, CA Y1A 2C6",2020-10-01,NA
24178,Senior Pharmacy Advisor,"Health & Social Services - Health Insurance, Activity Management","Whitehorse, YT, CA Y1A 2C6",2020-09-25,NA
24215,Community Responder,Community Services - Protective Services - Emergency Medical Services - Emergency Medical Services-Communities,"Watson Lake, YT, CA Y0A 1C0",2020-09-28,NA
24227,Administrative Assistant,YG - Yukon Government,"Beaver Creek, YT, CA Y0B 1A0Carcross, YT, CA Y0B 1B0Carmacks, YT, CA Y0B 1C0Dawson City, YT, CA Y0B 1G0Faro, YT, CA Y0B 1K0Haines Junction, YT, CA Y0B 1L0Mayo, YT, CA Y0B 1M0Old Crow, YT, CA Y0B 1N0Pelly Crossing, YT, CA Y0B 1P0Ross River, YT, CA Y0B 1S0Teslin, YT, CA Y0A 1B0Watson Lake, YT, CA Y0A 1C0Whitehorse, YT, CA Y1A 2C6 (Primary)",2020-12-14,NA
24180,Manager - Realty and Space Planning,Highways & Public Works - Buildings & Security,"Whitehorse, YT, CA Y1A 2C6",2020-09-28,NA
24223,Community Recreation Consultant,Community Services - Community Development - Sports & Recreation - Community Recreation,"Whitehorse, YT, CA Y1A 2C6",2020-09-28,NA
24240,Policy Analyst,Health & Social Services - Policy and Program Support,"Whitehorse, YT, CA Y1A 2C6",2020-09-29,NA
24221,Mining Lands Officer,"Energy, Mines & Resources - Mining Lands","Whitehorse, YT, CA Y1A 2C6",2020-09-29,NA
24261,Administrative Assistant,"Health & Social Services - Community Nursing, Teslin Health Centre","Teslin, YT, CA Y0A 1B0",2020-09-30,NA
24272,Primary Health Care Nurse,"Health & Social Services - Community Nursing, Ross River Health Centre","Ross River, YT, CA Y0B 1S0",2020-12-16,NA
24274,Cleaning Attendant,Highways & Public Works - Northern Region,"Dawson City, YT, CA Y0B 1G0Haines Junction, YT, CA Y0B 1L0Mayo, YT, CA Y0B 1M0Old Crow, YT, CA Y0B 1N0Pelly Crossing, YT, CA Y0B 1P0 (Primary)Watson Lake, YT, CA Y0A 1C0",2020-12-16,NA
24207,Mining Administration Officer,"Energy, Mines & Resources - Mining Lands","Whitehorse, YT, CA Y1A 2C6",2020-10-01,NA
24271,Director - Community Relations and Engagement,Education - Communications Administration,"Whitehorse, YT, CA Y1A 2C6",2020-10-08,NA
24288,Administrative Assistant,Executive Council Office - Office of the Commissioner,"Whitehorse, YT, CA Y1A 2C6",2020-10-01,NA
24351,Occupational Therapist,Education - Student Support Services,"Whitehorse, YT, CA Y1A 2C6",2020-10-05,NA
24352,Mining Technologist,"Energy, Mines & Resources - EMR-MM-Major Mines","Whitehorse, YT, CA Y1A 2C6",2020-10-05,NA
24371,Payroll / Finance Officer,Public Service Commission - HR Service Centre-Payroll,"Whitehorse, YT, CA Y1A 2C6",2020-10-05,NA
24358,Internal Auditor (Junior),Executive Council Office - Government Audit Services,"Whitehorse, YT, CA Y1A 2C6",2020-10-06,NA
24335,Chief Mine Engineer,"Energy, Mines & Resources - EMR-MM-Major Mines","Whitehorse, YT, CA Y1A 2C6",2020-10-14,NA
24440,Supervisor - Health Services,Justice - Whitehorse Corrections Centre,"Whitehorse, YT, CA Y1A 2C6",2020-10-07,NA
24419,Information Management Lead,Health & Social Services - Program Management,"Whitehorse, YT, CA Y1A 2C6",2020-10-07,NA
24433,Supply Chain Assistant,"Health & Social Services - Continuing Care, Admin Copper Ridge Place","Whitehorse, YT, CA Y1A 2C6",2020-10-07,NA
24461,Cook,"Health & Social Services - Extended/Complex Care CRP, Food Services - Copper Ridge","Whitehorse, YT, CA Y1A 2C6",2020-10-08,NA
24462,Registered Nurse,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-10-08,NA
24506,Office Coordinator,"Executive Council Office - Finance, Administration & Systems","Whitehorse, YT, CA Y1A 2C6",2020-10-09,NA
24464,Senior Energy Advisor,"Energy, Mines & Resources - Energy Solutions Centre","Whitehorse, YT, CA Y1A 2C6",2020-10-09,NA
24486,Manager - Strategic Initiatives,Highways & Public Works - HPW TPB Planning Units,"Whitehorse, YT, CA Y1A 2C6",2020-10-09,NA
24178,Senior Pharmacy Advisor,"Health & Social Services - Health Insurance, Activity Management","Whitehorse, YT, CA Y1A 2C6",2020-10-09,NA
24493,Support Worker,Health & Social Services - Housing and Community Outreach Services,"Whitehorse, YT, CA Y1A 2C6",2020-10-20,NA
24531,Community Health Nurse - Panorama,Health & Social Services - Panorama,"Whitehorse, YT, CA Y1A 2C6",2020-10-13,NA
24494,Airport Supervisor,Highways & Public Works - HPW TAB Maintenance,"Old Crow, YT, CA Y0B 1N0",2020-12-28,NA
24131,Infection Control Coordinator,"Health & Social Services - Community Health, Yukon Communicable Disease Control","Whitehorse, YT, CA Y1A 2C6",2020-10-06,NA
24584,Occupational Health and Safety Leader,"Health & Social Services - Continuing Care, Program Management","Whitehorse, YT, CA Y1A 2C6",2020-10-14,NA
24563,Manager - Systems and Information Management,Justice - Systems Administration,"Whitehorse, YT, CA Y1A 2C6",2020-10-14,NA
24556,Physiotherapist,"Health & Social Services - Intermediate and Community Care, Therapies - Home Care","Whitehorse, YT, CA Y1A 2C6",2020-10-23,NA
24587,Accounting Clerk,Finance - Financial Accounting,"Whitehorse, YT, CA Y1A 2C6",2020-10-15,NA
24597,Nursing Home Attendant,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-11-01,NA
24640,Heavy Equipment Operator I,Highways & Public Works - TM - Payroll Suspence,"Haines Junction, YT, CA Y0B 1L0",2020-10-20,NA
24642,Community Health Nurse,"Health & Social Services - Community Nursing, Watson Lake Health Centre","Watson Lake, YT, CA Y0A 1C0",2021-01-05,NA
24645,Community Health Nurse,"Health & Social Services - Community Nursing, Dawson City Health Centre","Dawson City, YT, CA Y0B 1G0",2021-01-05,NA
24636,Heavy Equipment Operator II,Highways & Public Works - TM - Payroll Suspence,"Blanchard, YT, CA Y0B 1L0",2020-10-20,NA
24665,Primary Health Care Nurse Float,Health & Social Services - Community Nursing,"Carmacks, YT, CA Y0B 1C0Faro, YT, CA Y0B 1K0Mayo, YT, CA Y0B 1M0Old Crow, YT, CA Y0B 1N0Teslin, YT, CA Y0A 1B0Whitehorse, YT, CA Y1A 2C6 (Primary)",2021-01-06,NA
24666,Financial Advisor,Highways & Public Works - Finance,"Whitehorse, YT, CA Y1A 2C6",2020-10-21,NA
24675,Senior Negotiator,"Energy, Mines & Resources - EMR - Client Services and Partnership","Whitehorse, YT, CA Y1A 2C6",2020-10-22,NA
24712,Mental Wellness & Substance Use Counsellor - Community,Health & Social Services - MWSU – Regional South – Watson Lake Hub,"Carmacks, YT, CA Y0B 1C0Watson Lake, YT, CA Y0A 1C0 (Primary)",2020-10-29,NA
24713,Primary Health Care Nurse,"Health & Social Services - Community Nursing, Teslin Health Centre","Teslin, YT, CA Y0A 1B0",2021-01-08,NA
24738,First Nations Liaison Officer,Justice - Whitehorse Corrections Centre,"Whitehorse, YT, CA Y1A 2C6",2020-10-23,NA
24751,Supervisor - Home Care Interdisciplinary Team,"Health & Social Services - Intermediate and Community Care, Professional Services - Home Care","Whitehorse, YT, CA Y1A 2C6",2020-10-26,NA
24748,Community Paramedic,Community Services - Protective Services - Emergency Medical Services - Emergency Medical Services-Communities,"Dawson City, YT, CA Y0B 1G0",2020-10-26,NA
24753,Community Health Nurse Mobile,"Health & Social Services - Community Nursing, Faro Health Centre","Faro, YT, CA Y0B 1K0",2021-01-11,NA
24786,Corrections Officer I - Trainee,Justice - Whitehorse Correctional Centre,"Whitehorse, YT, CA Y1A 2C6",2020-10-27,NA
24793,Primary Health Care Nurse In Charge,"Health & Social Services - Community Nursing, Teslin Health Centre","Teslin, YT, CA Y0A 1B0",2021-01-13,NA
24695,Healthy Families Worker,"Health & Social Services - Early Childhood Development, Child Care Services - Healthy Families","Whitehorse, YT, CA Y1A 2C6",2020-10-28,NA
24820,Director - First Nations Relations & Capacity Development,Executive Council Office - FN Relations & Capacity Development,"Whitehorse, YT, CA Y1A 2C6",2020-10-28,NA
24827,Financial Assistant - Community Nursing,"Health & Social Services - Community Health, Community Nursing Management","Whitehorse, YT, CA Y1A 2C6",2020-10-28,NA
24850,Registered Nurse,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-10-29,NA
24879,Access and Privacy Coordinator,Health & Social Services - E-health Management,"Whitehorse, YT, CA Y1A 2C6",2020-11-06,NA
24894,Admission / Assessment Coordinator,"Health & Social Services - Intermediate and Community Care, Admin - Home Care","Whitehorse, YT, CA Y1A 2C6",2020-10-30,NA
24891,French Pedagogical Consultant,Education - Learning Support Services,"Whitehorse, YT, CA Y1A 2C6",2020-10-29,NA
24921,Environmental Health Officer,"Health & Social Services - Community Health, Environmental Health","Whitehorse, YT, CA Y1A 2C6",2020-11-02,NA
24924,Case Manager,Workers Compensation - WCB - Claimant Services,"Whitehorse, YT, CA Y1A 2C6",2020-11-02,NA
24933,Whitehorse Librarian,Community Services - Whitehorse Public Library,"Whitehorse, YT, CA Y1A 2C6",2020-11-06,NA
24937,Building - Plumbing Inspector,Community Services - Protective Services - Building And Life Safety - Building Safety,"Whitehorse, YT, CA Y1A 2C6",2020-11-02,NA
24909,Director - Finance,Environment - Financial Services,"Whitehorse, YT, CA Y1A 2C6",2020-11-02,NA
24911,Health & Safety Training Officer,"Public Service Commission - Employee Relations - Health, Safety & Well Being","Whitehorse, YT, CA Y1A 2C6",2020-11-02,NA
24910,"Child, Youth & Family Clinical Counsellor",Health & Social Services - MWSU – Regional South – Watson Lake Hub,"Carmacks, YT, CA Y0B 1C0Watson Lake, YT, CA Y0A 1C0 (Primary)",2021-01-20,NA
24941,Environmental Assessment Analyst,Environment - ENV-MC-Environmental Assess,"Whitehorse, YT, CA Y1A 2C6",2020-11-03,NA
24944,Electrical Inspector,Community Services - Protective Services - Building And Life Safety - Building Safety,"Whitehorse, YT, CA Y1A 2C6",2020-11-03,NA
24969,Fleet Coordinator,SOA Fleet Management - FM - Administration,"Whitehorse, YT, CA Y1A 2C6",2020-11-04,NA
24977,Community Liaison Coordinator,"Health & Social Services - Intermediate and Community Care, Admin - Home Care","Whitehorse, YT, CA Y1A 2C6",2020-11-04,NA
24987,Assistant Deputy Minister,YG - Yukon Government,"Whitehorse, YT, CA Y1A 2C6",2020-11-12,NA
24991,Park Attendant,Environment - ENV-NR-Parks Compliance Checks,"Haines Junction, YT, CA Y0B 1L0",2020-11-05,NA
24998,Manager - Finance,"Yukon Housing Corporation - Finance, Systems & Administration","Whitehorse, YT, CA Y1A 2C6",2020-11-05,NA
24996,Clinical Counsellor - Mental Wellness & Substance Use,Health & Social Services - Mental Wellness and Substance Use – Client Services,"Whitehorse, YT, CA Y1A 2C6",2020-11-05,NA
25005,Manager - Correctional Services,Justice - Whitehorse Correctional Centre,"Whitehorse, YT, CA Y1A 2C6",2020-11-06,NA
24997,Environmental Coordinator,Highways & Public Works - HPW TEB Payroll Suspense,"Whitehorse, YT, CA Y1A 2C6",2020-11-12,NA
25001,Board Certified Behavior Analyst,Health & Social Services - Services To Persons with Disabilities - Activity Management,"Whitehorse, YT, CA Y1A 2C6",2020-11-09,NA
25035,Home Support Worker,"Health & Social Services - Intermediate and Community Care, Home Support - Home Care","Carmacks, YT, CA Y0B 1C0",2020-11-09,NA
24013,Youth Engagement Worker,"Health & Social Services - F&CS Residential Services, Residential Youth Treatment","Whitehorse, YT, CA Y1A 2C6",2020-11-06,NA
25040,Project Geologist,"Energy, Mines & Resources - Yukon Geological Survey","Whitehorse, YT, CA Y1A 2C6",2020-11-10,NA
25086,Speech and Language Pathologist,Education - Student Support Services,"Whitehorse, YT, CA Y1A 2C6",2020-11-12,NA
25092,Domestic Aide,"Health & Social Services - Extended/Complex Care CRP, Facility Services","Whitehorse, YT, CA Y1A 2C6",2020-11-13,NA
25111,Regional Program Manager,Highways & Public Works - HPW TEB Payroll Suspense,"Whitehorse, YT, CA Y1A 2C6",2020-11-13,NA
24680,Community Plant Operator,Community Services - Community Development - Community Operations - Administration,"Whitehorse, YT, CA Y1A 2C6",2020-11-16,NA
25082,Human Resource Consultant I&II,YG - Yukon Government,"Whitehorse, YT, CA Y1A 2C6",2021-01-29,NA
24921,Environmental Health Officer,"Health & Social Services - Community Health, Environmental Health","Whitehorse, YT, CA Y1A 2C6",2020-11-16,NA
25145,Manager - Planning and Programming,Highways & Public Works - Transport Capital Planning,"Whitehorse, YT, CA Y1A 2C6",2020-11-17,NA
25134,Library Clerk - WES,Education - School Clerical Support,"Whitehorse, YT, CA Y1A 2C6",2020-11-18,NA
25180,Manager - Integrated Restorative Justice,Justice - ADM's Office,"Whitehorse, YT, CA Y1A 2C6",2020-11-19,NA
25158,First Nations Liaison Worker,"Health & Social Services - Continuing Care, Thomson Centre - Therapies","Whitehorse, YT, CA Y1A 2C6",2020-11-19,NA
25181,Senior Advisor,Executive Council Office - Implementation & Reconciliation,"Whitehorse, YT, CA Y1A 2C6",2020-11-20,NA
25185,Regional Fish and Wildlife Technician,Environment - ENV-NR-Wildlife Harvest Mgmnt,"Dawson City, YT, CA Y0B 1G0",2020-11-23,NA
25228,Social Worker,"Health & Social Services - Family and Child Services, Child Protection","Whitehorse, YT, CA Y1A 2C6",2020-11-23,NA
25242,Human Resource Consultant III,YG - Yukon Government,"Whitehorse, YT, CA Y1A 2C6",2020-11-30,NA
25234,Program Manager Asset Management,Highways & Public Works - HPW TPB Planning Units,"Whitehorse, YT, CA Y1A 2C6",2020-11-24,NA
25086,Speech and Language Pathologist,Education - Student Support Services,"Whitehorse, YT, CA Y1A 2C6",2020-11-19,NA
25001,Board Certified Behavior Analyst,Health & Social Services - Services To Persons with Disabilities - Activity Management,"Whitehorse, YT, CA Y1A 2C6",2020-11-16,NA
25301,Emergency Response Officer,Community Services - Protective Services - Fire Management - Pre-Suppression,"Whitehorse, YT, CA Y1A 2C6",2020-11-27,NA
25303,Clinical Educator,"Health & Social Services - Continuing Care, Program Management","Whitehorse, YT, CA Y1A 2C6",2020-11-25,NA
25305,Senior Negotiator,Justice - Negotiations of AJA,"Whitehorse, YT, CA Y1A 2C6",2020-12-02,NA
25307,Assistant Negotiator,Justice - Negotiations of AJA,"Whitehorse, YT, CA Y1A 2C6",2020-12-02,NA
25268,Licensing Officer,Executive Council Office - Yukon Water Board Administration,"Whitehorse, YT, CA Y1A 2C6",2020-11-25,NA
25281,Primary Health Care Nurse Float,Health & Social Services - Community Nursing,"Whitehorse, YT, CA Y1A 2C6",2021-02-10,NA
25225,Subdivision Land Use Planner,"Energy, Mines & Resources - Community Land Planning","Whitehorse, YT, CA Y1A 2C6",2020-11-25,NA
25320,Emergency Response Officer,Community Services - Protective Services - Fire Management - Pre-Suppression,"Whitehorse, YT, CA Y1A 2C6",2020-11-27,NA
24713,Primary Health Care Nurse,"Health & Social Services - Community Nursing, Teslin Health Centre","Teslin, YT, CA Y0A 1B0",2020-11-12,NA
25355,Regional Protection Officer,Community Services - Protective Services - Fire Management - Pre-Suppression,"Teslin, YT, CA Y0A 1B0 (Primary)Watson Lake, YT, CA Y0A 1C0",2020-11-27,NA
24274,Cleaning Attendant,Highways & Public Works - Northern Region,"Dawson City, YT, CA Y0B 1G0Haines Junction, YT, CA Y0B 1L0Mayo, YT, CA Y0B 1M0Old Crow, YT, CA Y0B 1N0Pelly Crossing, YT, CA Y0B 1P0 (Primary)Watson Lake, YT, CA Y0A 1C0",2020-11-14,NA
25384,Geomatics Consultant,Highways & Public Works - ICT - e-Services,"Whitehorse, YT, CA Y1A 2C6",2020-11-30,NA
25193,GRADCORPS: Mining Lands Officer,"Energy, Mines & Resources - Mining Lands","Whitehorse, YT, CA Y1A 2C6",2021-01-04,NA
25194,GRADCORPS: Assistant Natural Resources Officer,"Energy, Mines & Resources - Compliance Monitoring & Inspections Operations","Whitehorse, YT, CA Y1A 2C6",2021-01-04,NA
25206,GRADCORPS: Forest Management Technician,"Energy, Mines & Resources - Forest Management Operations","Whitehorse, YT, CA Y1A 2C6",2021-01-04,NA
25377,GRADCORPS: Junior Analyst - Energy,Highways & Public Works - Strategic Initiatives,"Whitehorse, YT, CA Y1A 2C6",2021-01-04,NA
25378,GRADCORPS: Junior Analyst - Infrastructure,Highways & Public Works - Strategic Initiatives,"Whitehorse, YT, CA Y1A 2C6",2021-01-04,NA
25379,GRADCORPS: Business Analyst/Data Manager,Highways & Public Works - Capital Development Overhead,"Whitehorse, YT, CA Y1A 2C6",2021-01-04,NA
25183,GRADCORPS: Assessor,Community Services - Corp Policy & Consumer Affairs - Property Assessment And Taxation - Assessment And Taxation,"Whitehorse, YT, CA Y1A 2C6",2021-01-04,NA
25187,GRADCORPS: Spatial Database Administrator,Community Services - Protective Services - Fire Management - Pre-Suppression,"Whitehorse, YT, CA Y1A 2C6",2021-01-04,NA
25188,GRADCORPS: Records / Information Management Advisor,Community Services - Corporate Services - Finance - Administration,"Whitehorse, YT, CA Y1A 2C6",2021-01-04,NA
25191,GRADCORPS: Human Resource Service Representative,Public Service Commission - Human Resources Shared Services,"Whitehorse, YT, CA Y1A 2C6",2021-01-04,NA
25192,GRADCORPS: Land and Resource Planner,"Energy, Mines & Resources - Community Land Planning","Whitehorse, YT, CA Y1A 2C6",2021-01-04,NA
25374,GRADCORPS: Mitigation Analyst (Climate Change),Environment - ENV-Yukon Climate Chng Secretariate,"Whitehorse, YT, CA Y1A 2C6",2021-01-04,NA
25407,Project Manager,Highways & Public Works - Capital Development Overhead,"Whitehorse, YT, CA Y1A 2C6",2021-02-17,NA
25190,Records Analyst,Highways & Public Works - ICT - Corpate Infformation Management- Recorded Information Management,"Whitehorse, YT, CA Y1A 2C6",2020-12-08,NA
25385,Registered Nurse,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-12-17,NA
25388,GRADCORPS: Financial Advisor,Highways & Public Works - Finance,"Whitehorse, YT, CA Y1A 2C6",2021-01-04,NA
25417,Human Resource Service Representative,Public Service Commission - Human Resources Shared Services,"Whitehorse, YT, CA Y1A 2C6",2020-12-02,NA
25422,"Manager, Labour Relations",Public Service Commission - Employee Relations - Labour Relations,"Whitehorse, YT, CA Y1A 2C6",2020-12-02,NA
25439,Nursing Home Attendant,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-12-19,NA
25451,Probation Officer,Justice - Yukon Community Corrections,"Whitehorse, YT, CA Y1A 2C6",2020-12-03,NA
25469,RN Supervisor,Health & Social Services - Continuing Care,"Whitehorse, YT, CA Y1A 2C6",2020-12-04,NA
25449,SART Support Worker,Justice - Victim Services - Director Ops,"Whitehorse, YT, CA Y1A 2C6",2020-12-18,NA
25470,Speech Language Pathologist,"Health & Social Services - Continuing Care, Thomson Centre - Therapies","Whitehorse, YT, CA Y1A 2C6",2021-02-22,NA
25495,Chief Operation Officer,Yukon Liquor Corporation - Purchasing & Distribution,"Whitehorse, YT, CA Y1A 2C6",2020-12-08,NA
25525,Cook,Health & Social Services - Housing and Community Outreach Services,"Whitehorse, YT, CA Y1A 2C6",2020-12-15,NA
25527,Cook Supervisor,Health & Social Services - Housing and Community Outreach Services,"Whitehorse, YT, CA Y1A 2C6",2020-12-15,NA
25490,Community Health Nurse - Pandemic,"Health & Social Services - Community Health, Yukon Communicable Disease Control","Whitehorse, YT, CA Y1A 2C6",2021-02-24,NA
24793,Primary Health Care Nurse In Charge,"Health & Social Services - Community Nursing, Teslin Health Centre","Teslin, YT, CA Y0A 1B0",2020-11-24,NA
25556,Bilingual Education Consultant,Education - Learning Support Services,"Whitehorse, YT, CA Y1A 2C6",2020-12-10,NA
25570,Staffing Consultant,Public Service Commission - Staffing Management & Solutions,"Whitehorse, YT, CA Y1A 2C6",2020-12-10,NA
25573,Dietary Aide,Health & Social Services - Housing and Community Outreach Services,"Whitehorse, YT, CA Y1A 2C6",2020-12-17,NA
25617,Tourism Development Advisor,Tourism & Culture - Industry Services,"Whitehorse, YT, CA Y1A 2C6",2020-12-15,NA
25631,Clinical Supervisor - Community Team (South),Health & Social Services - MWSU – Regional – Activity Management,"Whitehorse, YT, CA Y1A 2C6",2021-03-01,NA
